epoch,accuracy,loss,val_accuracy,val_loss
0,0.06092008948326111,6.456559181213379,0.0006141625926829875,2231.556640625
1,0.1109977513551712,4.933365345001221,0.001985792303457856,22.668201446533203
2,0.16386769711971283,4.1649322509765625,0.003684975439682603,11.5703763961792
3,0.21714934706687927,3.621614933013916,0.004565275274217129,12.45521068572998
4,0.2681606709957123,3.2220590114593506,0.007799864746630192,11.452603340148926
5,0.3087530732154846,2.947438955307007,0.009335271082818508,11.082554817199707
6,0.34467172622680664,2.7251551151275635,0.00923291128128767,144.95989990234375
7,0.3732912242412567,2.561105966567993,0.009580936282873154,104.4989013671875
8,0.3982698321342468,2.424926996231079,0.011750977486371994,26.686830520629883
9,0.41886991262435913,2.314429759979248,0.011013982817530632,7260.5869140625
10,0.4362714886665344,2.2221975326538086,0.017360329627990723,20.57457160949707
