epoch,accuracy,loss,val_accuracy,val_loss
0,0.00031646390561945736,8.532174110412598,0.000388969638152048,8.65713882446289
1,0.00027710272115655243,8.430163383483887,0.0004094417381566018,8.63893985748291
2,0.0001802742190193385,8.336995124816895,0.0004503859090618789,8.778539657592773
3,0.00010391352407168597,8.228983879089355,0.0004503859090618789,8.913424491882324
4,0.00010548797581577674,8.1300048828125,0.00036849756725132465,9.012862205505371
5,0.00010627519804984331,8.040775299072266,0.00036849756725132465,9.130852699279785
6,0.00012438134581316262,7.962282657623291,0.0002456650254316628,9.238056182861328
7,0.00015350861940532923,7.879038333892822,0.00034802546724677086,9.215631484985352
8,0.0002023164852289483,7.802615642547607,0.00034802546724677086,9.321895599365234
9,0.00021491207007784396,7.738678932189941,0.00036849756725132465,9.355928421020508
10,0.0002275076403748244,7.687934875488281,0.00036849756725132465,9.420979499816895
11,0.00025112435105256736,7.64507532119751,0.0002661371254362166,9.51372241973877
12,0.000295208883471787,7.5994086265563965,0.00022519295453093946,9.47780990600586
13,0.00031252778717316687,7.554458141326904,0.0002661371254362166,9.565189361572266
14,0.0003849523782264441,7.517967224121094,0.0005118021508678794,9.580507278442383
